Id,Name,Text,Colorway,Main_color,Category
11,Nike Zoom KD 4 'Nerf' 2024,"The Nike KD 4 NERF 2024 reintroduces one of the most hyped and beloved colorways in the KD line. Originally released in 2011, the NERF colorway features a playful and vibrant mix of concord, bright crimson, black, cool grey, and green strike, drawing inspiration from the nostalgic NERF toys. This re-release brings back the excitement and energy that surrounded its initial launch, making it a must-have for fans of the KD series and sneaker enthusiasts.

The KD 4 is known for its lightweight and responsive design, perfect for dynamic players like Kevin Durant. The Hyperfuse construction provides breathability and durability, while the Adaptive Fit system ensures a snug and secure fit. The bold and colorful design of the NERF colorway adds a fun twist to this performance-driven sneaker, making it stand out both on and off the court.

Released on August 9, 2024, the Nike KD 4 NERF retailed at $150. This concord, bright crimson, black, cool grey, and green strike colorway reaffirms the KD 4’s place in sneaker history. Loved for its unique design and advanced technology, the KD 4 NERF continues to capture the hearts of basketball fans and fashion-forward individuals.",Concord/Bright Crimson/Black/Cool Grey/Green Strike,Purple,Basketball
12,Nike Kobe 8 Protro 'College Navy',"Paying tribute to Kobe Bryant’s legacy, the Nike Kobe 8 Protro College Navy was released alongside the ""Wolf Grey"" and ""University Red"" editions as part of Nike’s Fall 2024 collection.

The College Navy Nike Kobe 8 Protro basketball shoe boasts a slim design and a collegiate color palette of College Navy and white. Designed to improve a player's on-court performance, the sneaker features several enhancements, including a responsive React foam midsole and a grippy herringbone traction pattern on the outsole. However, the standout feature is the lightweight engineered mesh on the upper. It comes in College Navy and allows the foot to breathe without sacrificing durability. Contrasting the dark College Navy base, white can be found on Bryant’s sword in a sheath logo on the tongue and heel, the rubber outsole, the embroidered Swoosh logos, and the athlete’s signature.

Our experts like the reinforced eyelets because they provide a secure fit. The Nike Kobe 8 Protro College Navy was released on September 6, 2024, and sold for $190.",College Navy/White/College Navy,Blue,Basketball
13,Nike Kobe 5 ProtroX-Ray,"The Nike Kobe 5 Protro X-Ray is a vibrant homage to Kobe Bryant's legendary career, taking inspiration from the iconic X-ray T-shirt that featured his hand adorned with five championship rings. Reimagining this concept, the X-ray design is applied to the upper of the Kobe 5 with glow in the dark elements, depicting an X-ray of a foot. Done in deep royal blue, baltic blue, and glacier blue, this bold sneaker also features glow-in-the-dark outsoles, adding an extra layer of flair to an already striking silhouette.

As part of the Protro series, this Kobe 5 combines modern performance technology with the original model's design, making it a favorite among basketball players and sneakerheads alike. Known for its sleek, low-profile build, the Kobe 5 has been a go-to for athletes seeking speed, agility, and responsiveness. This latest iteration takes the iconic silhouette and elevates it with a design that truly celebrates the Mamba Mentality and Kobe’s enduring influence on the game.

Released on October 17, 2024, the Nike Kobe 5 Protro X-Ray retailed for $190. This special edition release, with its unique X-ray graphic, glow-in-the-dark elements, and tribute to Kobe's incredible career, is a must-have for fans of Kobe Bryant and those who appreciate bold, innovative designs.",Deep Royal Blue/Baltic Blue/Glacier Blue,Blue,Basketball
14,Air Foamposite One 'Royal' 2024,"The 2024 edition of the Nike Air Foamposite One 'Royal' brings back the iconic OG colorway of the groundbreaking basketball shoe. A metallic blue finish coats the Foamposite upper, crafted from liquid polyurethane poured into a mold and accented with black nubuck detailing along the collar and eyestay. True to the 1997 original, this pair features a blue border outlining the white mini-Swoosh at the lateral forefoot, and an exposed black and blue carbon shank beneath the midfoot. Penny Hardaway's 1 Cent logo adorns the tongue and back tab. Underpinning the sneaker is a translucent rubber outsole.",International Blue/White/Black/Clear,Blue,Basketball
15,Nike Kobe 8 Protro Lakers Home,"The Nike Kobe 8 Protro Lakers Home brings the energy of the Staples Center straight to your feet. This crisp white colorway is the perfect homage to the Lakers’ home uniforms, featuring a white engineered mesh upper, white midsole, and matching outsole. The purple embroidered Nike swoosh and Kobe’s signature in gold on the heel clip provide striking contrasts, while the gold Kobe logos on the tongue and heel tie the entire design together in true Lakers fashion.

As part of the Protro line, the Kobe 8 Lakers Home brings modern performance technology to one of the most iconic basketball sneakers ever. With its lightweight construction, responsive cushioning, and durable materials, this sneaker is built for both the court and the streets. The Lakers Home colorway blends performance and style, making it a must-have for any fan of Kobe Bryant and the Lakers dynasty.

Released on September 6, 2024, the Nike Kobe 8 Protro Lakers Home retailed at $190. The white, court purple, and university gold colorway celebrates the Lakers’ rich history and Kobe’s incredible legacy. Whether you’re rocking these on the court or adding them to your collection, the Lakers Home edition of the Kobe 8 Protro is a timeless tribute to basketball greatness.",White/Court Purple/University Gold,White,Basketball
16,Kobe 9 Elite Low Protro 'Halo',"The Nike Kobe 9 Elite Low Protro 'Halo' revives Kobe Bryant's ninth signature model in a pristine finish. White Flyknit is utilized on the upper, featuring a low-cut collar and tonal no-sew overlays for lightweight support. Nike's Flywire technology provides midfoot lockdown, while a carbon fiber heel counter delivers lateral stability during side-to-side movements. A lightweight foam midsole maintains the sneaker's monochrome design.",White/White/White,White,Basketball
17,Nike KD 4 Aunt Pearl (2024),"The 2024 edition of the Nike Zoom KD 4 'Aunt Pearl' brings back a vibrant colorway of Kevin Durant's fourth signature shoe.  Originally released in 2012 and paying tribute to the NBA athlete's beloved late aunt, the retro silhouette sports a hot pink mesh upper with durable fused overlays and an adjustable midfoot strap marked with a black oversized Swoosh.  A graphic design made up of countless pearls covers the tongue, collar, heel and medial side.  Performance benefits include a lightweight Phylon midsole with a supportive TPU shank and Zoom Air cushioning in the forefoot.",Pinkfire 2/Black/Metallic Silver,Pink,Basketball
18,Nike Kobe 8 ProtroWolf Grey,"The Nike Kobe 8 Protro Wolf Grey updates Kobe Bryant’s eighth signature Nike basketball shoe with a sleek white and Wolf Grey color palette.

Celebrating Bryant’s on-court performance legacy, the Wolf Grey Nike Kobe 8 Protro boasts enhancements designed to support agile movements. For instance, the upper is crafted from ultra-lightweight, engineered mesh that provides breathability and doesn’t weigh down the foot. The responsive React midsole cushions against impact, while the thin laces thread through reinforced eyelets for a secure fit. Although the mesh, laces, collar, and part of the midsole come in Wolf Grey, the Swoosh logos, Bryant’s signature, the sheath and sword logos on the heel and tongue, and part of the midsole come in white.

Our experts at StockX like the way the white and Wolf Grey complement each other, creating a timeless, neutral colorway. The Nike Kobe 8 Protro Wolf Grey was released on September 6, 2024, and sold for $190.",Wolf Grey/White/Wolf Grey,Grey,Basketball
19,Nike Kobe 8 Protro Lakers Away,"The Nike Kobe 8 Protro Lakers Away is a bold new release that combines legendary performance with iconic Lakers flair. Featuring a sleek black engineered knit upper, this colorway brings the energy of a Lakers away game to the court. Gold embroidered Nike swooshes and Kobe Bryant’s signature in gold on the black heel clip add a touch of luxury, while the white outsole provides contrast against the black midsole. This Lakers-inspired colorway brings the competitive intensity of Kobe's road performances to life.

As part of the Kobe Protro line, the Kobe 8 continues to offer cutting-edge technology while paying homage to one of the most beloved basketball sneakers ever made. The Protro updates include advanced cushioning and materials, making this sneaker a top choice for athletes and sneakerheads alike. The performance-driven design, combined with the sleek look of the Lakers Away colorway, makes this a standout addition to any Kobe collection.

Released on September 6, 2024, the Nike Kobe 8 Protro Lakers Away retailed at $190. The black, university gold, white, and court purple colorway pays tribute to the Lakers’ iconic uniforms. Whether on the court or in your rotation, this Kobe 8 Protro is a must-have for fans of the Black Mamba and basketball culture.",Black/University Gold/White/Court Purple,Black,Basketball
20,Adidas AE 1 'Pure Ruby',"The adidas AE 1 'Pure Ruby', also as known as 'Georgia Bulldogs,' showcases the signature colors of Anthony Edwards' alma mater. The upper combines black mesh construction with large TPU support wings, finished in a bold crimson hue and featuring a warped honeycomb structure for enhanced breathability. Edwards' personal logo graces the tongue tag, while adidas' three-bar trademark stands out on the external heel counter in white. A caged midsole packs Lightstrike foam with responsive Boost cushioning in the heel.",Core Black/Red/Cloud White,Red,Basketball
21,Nike Ja 2 'Nightmare',"The Nike Ja 2 'Nightmare' delivers a Halloween-themed edition of Ja Morant's second signature shoe. A bold crimson finish is executed on the upper, featuring a mesh toe box with knit textile on the medial side. On the opposite side, a molded midfoot panel is accented with a Celestial Gold Swoosh. 'Morant' is spelled out on fang-shaped lace jewels, while an embroidered graphic on the black suede heel panel depicts zombie hands reaching skyward. Performance benefits include a lightweight foam midsole with Zoom Air cushioning in the forefoot.",University Red/Celestial Gold/Black/Jade Horizon,Red,Basketball
22,Giannis Immortality 4 'Humility',"The Giannis Immortality 4 is for the multi-faceted player. The sleek, supportive heel shape is combined with an upgraded traction pattern from the previous iteration to help keep you making all those game-changing plays.
Heel support
The new, sleek heel shape is padded for support when coming to sudden stops.
Enhanced Traction
We've upgraded the traction pattern to Giannis's standards, giving you and the Greek Freak better court feel and mobility when cutting and moving at high speeds.
Control your moves
An internal containment system allows you to control every movement once you lace up.",White/Pure Platinum/Black,White,Basketball
23,Rigorer AR1 Valentine's Day,"The Rigorer AR1 Valentine's Day is the first signature shoe released by Rigorer and Austin Reaves, an NBA player originally from Arkansas.

The sneaker’s design mimics a silkworm cocoon and symbolizes Reaves’ professional and personal growth. It also pays homage to Rigorer’s Chinese roots. The upper features a combination of textile and cord embroidery, which allows the foot to breathe and is lightweight. The cord embroidery also provides support and helps the sneaker maintain its shape. TPU in the forefoot and heel provides stability and reduces the risk of rollovers. In terms of details, two patches decorate the heel area. One features a pink ‘A’ with wings and the other displays a blooming rose.

Our experts at StockX like the sneaker’s pink and white colorway. It celebrates Valentine’s Day and complements the rose details. The Rigorer AR1 Valentine's Day was released on February 10th, 2024, and retailed at $100.",Pink/White,Pink,Basketball
24,Nike GT Cut CrossThink Pink,"Whether you're playing in the gym, at the park or on your driveway, lace up in the G.T. Cut Cross. Designed to help you create space for stepback jumpers, backdoor cuts and other game-changing plays, its sticky multi-court traction with added durability helps you stop in an instant and shift gears at will—wherever your next game is calling you.

Traction for the court
The more traction you have underfoot, the more separation you can create from your opponent. It can help you stop in an instant and shift gears at will. Giving you stop-and-go traction from heel to toe, the herringbone pattern on the G.T. Cut Cross is ideal for lateral cuts and quick changes in movement. We added durability in the toe area too.

Fast on the floor
The more responsive the shoe, the more energy return you can get back with each cut, pivot and move to the hoop. Responsive shoes help give you more spring in your step so you can feel fast for four quarters. A bottom-loaded forefoot Air Zoom unit helps you play fast on the floor when the game goes uptempo.

Unreal level of comfort and support
The more cushioning you have underfoot, the more comfortable your game can be. We stacked the midsole with two foams, giving you an unreal level of comfort and support. It's perfect for long hoop sessions on unforgiving surfaces.","
White/Barely Grape/Pink Foam/Light Smoke Grey",Pink,Basketball
25,adidas AE 1 'Ascent Pack',"The adidas AE 1 'Ascent Pack' dresses Anthony Edwards' inaugural signature shoe in stealthy color palette. The black mesh upper is bolstered with large TPU side panels, featuring a ventilated structure and a marbled dark grey finish. A woven AE tag graces the tongue, while adidas' three-stripe logo decorates the molded back heel. The sneaker rides atop a TPU-encased Jet Boost midsole, supported by a full-length torsional plate and an enlarged herringbone-traction rubber outsole.",Core Black/Charcoal/Carbon,Grey,Basketball
26,Kai 1 'Yin Yang Pack - Yin' China Release,"The Anta Kai 1 'Yin Yang Pack - Yin' delivers a stealthy edition of Kyrie Irving's signature shoe. Treated to a pitch-black monochrome finish, the mesh upper features no-sew synthetic overlays and an adjustable midfoot strap. Kyrie's personal logo decorates the tongue, while the NBA athlete's jersey number appears on the vamp. A molded TPU piece brings lateral stability to the matching black foam midsole, infused with nitrogen and fitted with a top-loaded carbon plate.",Black,Black,Basketball
27,Giannis Freak 6 NRG 'Roses',"Giannis needs a shoe to dominate the modern positionless game. That's why we've upgraded the traction pattern on the Giannis Freak 6. The herringbone outsole helps him stop in an instant to make all those game-changing plays. And when he's filling up the stat sheet, the Air Zoom cushioning helps keep him fresh for four quarters.

Sticky traction
We've upgraded the traction pattern to Giannis's standards, giving you and the Greek Freak better court feel and mobility when cutting and moving at high speeds.

Stay contained
An internal containment system helps you to control every movement once you lace up.

Zoom, zoom
A forefoot Air Zoom unit provides responsiveness for game-changing plays.",Coconut Milk/Aster Pink/Sail/University Red/Sanddrift,Cream,Basketball
28,"Timberland 6"" Premium Waterproof Boot Wheat","The Timberland 6 Inch Premium Waterproof Wheat is one of the variants from the Timberland brand, a common footwear among men and trekking sports enthusiasts.

The boot is made from leather material at the upper part and rubber at the sole. The design unleashes in style code TB010062-713. 90% of the upper part of Timberland Waterproof is wheat, while the collar is black. The design consists of a stylish suede with a Timberland logo branded on the side of the shoe.",Wheat/Black,Brown,Boot
29,Nike Dunk Low 'Berlin',"In a nod to the city of Berlin, this Dunk Low gives an iconic sneaker known for its attitude an even sharper edge. The black and Off-Noir colourway pays homage to the city's rich history and bustling nightlife. Real and synthetic leather mix with glossy patent-leather accents, capturing Berlin's nocturnal allure and the dance of neon lights as they buzz and flicker after dark. 

Inside, a ""no photography allowed"" tongue label gives a subtle nod to the exclusivity of the underground club scene. Reflective design accents inspired by tattoo designs wrap the heel, calling out the sneaker's namesake with an esoteric artistic expression. Cool Grey accents, custom insoles and hoop-and-ball charms complete the design. Tattoos, piercings, underground nightlife teeming with grit—Berlin, this Dunk's for you.",Off Noir/Cool Grey/Black/Jade Horizon,Black,Lifestyle
30,Travis Scott x Air Jordan 1 Retro Low OG SP 'Reverse Olive / Medium Olive',"The Travis Scott x Air Jordan 1 Retro Low OG SP 'Reverse Olive / Medium Olive' combines an olive green suede base with chalk white leather overlays at the forefoot and heel. On the lateral side, Scott's signature reverse Swoosh is rendered in black tumbled leather. Crimson accents land on the Nike Air tongue tag, as well as leather back tabs marked with mismatched Jordan Wings and Cactus Jack branding. The low-top is mounted on a vintage off-white midsole, reinforced underfoot by a grippy olive rubber outsole.",Medium Olive/Black/Sail/Muslin,Green,Lifestyle
31,Jordan 4 Retro Orchid (Women's),"The Jordan 4 Retro Orchid (Women's) introduces a vibrant new colorway to one of the most iconic Air Jordans of all time. The Jordan 4 has long been a fan favorite, both for its historic significance in Michael Jordan’s career and its timeless design. This women’s exclusive release features a stunning orchid suede upper, accented by neutral grey, black, and white tones. The speckled midsole, wings, and back tab add even more flair to this already eye-catching sneaker.

The Jordan 4 is known for its distinctive design elements, including the mesh paneling, visible Air cushioning, and plastic wing eyelets that provide both style and functionality. First introduced in 1989, the Jordan 4 quickly became a cultural icon, celebrated for its on-court performance and off-court appeal. The Orchid colorway brings a fresh, bold look to this beloved silhouette, perfect for those who want to stand out while paying tribute to a piece of sneaker history.

Released on October 5, 2024, the Jordan 4 Retro Orchid (Women's) retailed for $215. With its vibrant color scheme and iconic design, this edition of the Jordan 4 is sure to be a hit among sneaker collectors and Jordan fans looking for something both stylish and timeless.",Orchid/Neutral Grey-Black-White,Pink,Lifestyle
32,Jordan 1 Low SE Legend Light Brown,"As part of the Method of Make series, the Jordan 1 Low SE Legend Light Brown reimagines the AJ1 Low using premium materials and a contemporary color scheme. It boasts neutrals, including Sail, Legend Light Brown, Archaeo Brown, and Neutral Grey.

Creating a sophisticated feel, the base is constructed from leather in Sail, while the suede overlays at the heel and forefoot come in Legend Light Brown. The eyelets, the signature Swoosh logo, the Jumpman logo, and the Air Jordan Wings logo embroidered on the heel showcase soft Archaeo Brown. The minimalist branding on the tongue contributes to the sneaker’s premium appearance, while the perforations on the toebox allow the foot to breathe.

Our experts at StockX like the midsole’s off-white hue. Here, encapsulated Air units provide responsive cushioning without adding a distracting design detail. The Jordan 1 Low SE Legend Light Brown was released on July 18, 2024, and sold for $125.","
Legend Light Brown/Sail/Neutral Grey/Archaeo Brown",Cream,Lifestyle
33,Air Jordan 11 Retro Low 'Diffused Blue',"The Jordan 11 Retro Low Diffused Blue adds a diffused-blue hue to the wavy patent leather mudguard of Tinker Hatfield’s signature design.

The combination of leather and mesh creates a lightweight yet durable upper, while thick padding around the collar protects the ankle. Twin Jumpman logos, one on the mesh tongue and one on the heel, come in Midnight Navy, while a large white Jumpman decorates the outsole. Like other AJ11 models, this version features a semi-translucent rubber outsole and patches of Diffused Blue on the herringbone traction pattern. Finally, an encapsulated Nike Air unit protects against impact without weighing down the shoe.

Our experts appreciate the tonal stitching along the Diffused Blue mudguard because it contributes to the color contrast between the white mesh and the patent leather. The Jordan 11 Retro Low Diffused Blue was released on August 17, 2024, and retailed at $190.","
White/Midnight Navy/Diffused Blue/Football Grey",Blue,Lifestyle
34,Jordan 4 Retro OG SP A Ma Maniére While You Were Sleeping (Women's),"The Jordan 4 Retro OG SP A Ma Maniére While You Were Sleeping (Women's) is the latest addition to the ongoing collaboration between Jordan Brand and A Ma Maniére, known for blending luxury materials with timeless designs. This release features a premium fossil stone upper constructed from high-quality suede and leather, creating a refined, yet edgy look. The contrasting black accents on the midsole adds depth to the design, while the iconic Jumpman flight tag appears on the tongue of one shoe, with the A Ma Maniére logo featured on the other.

As part of the ""While You Were Sleeping"" capsule, this sneaker follows the popular Jordan 3 from August, continuing the collection's success. Inside, the quilted lining adds a luxurious touch, enhancing both comfort and style. The classic Nike Air logo on the heel, along with the special packaging, makes this release even more special for collectors. The Jordan 4 model has always been a cultural icon, and A Ma Maniére's touch only elevates its status further.

Released on September 20, 2024, the Jordan 4 Retro OG SP A Ma Maniére While You Were Sleeping (Women's) retailed at $225. This colorway encapsulates the luxurious feel of the collaboration, making it a standout addition to any sneaker collection. Whether you're drawn to the premium materials, the sleek design, or the significance of the Jordan 4 model, this release is set to leave a lasting impact in both fashion and sneaker culture.",Fossil Stone/Metallic Pewter/Burgundy Crush,Pink,Lifestyle
35,Jordan 12 Retro Barons,"The Jordan 12 Retro Barons brings a fresh new colorway to the iconic Jordan 12 silhouette, drawing inspiration from an often overlooked chapter in Michael Jordan’s legendary career—his time with the Birmingham Barons, a minor league baseball team. During his brief departure from basketball in 1994, MJ pursued a childhood dream of playing professional baseball, a decision that stunned fans worldwide. The ""Barons"" colorway pays tribute to this unique period, offering a sleek black, wolf grey, and white design that echoes the colors of the Barons' uniforms.

First introduced in 1996, the Jordan 12 has remained a staple in the Jordan Brand lineup thanks to its premium materials and timeless design. Known for its durable leather upper, the Jordan 12 was also the first Air Jordan to feature Nike’s Zoom Air cushioning technology. This new Barons colorway showcases a sleek and minimalistic look that makes this model a versatile option for both casual wear and on-court performance.

Released on September 28, 2024, the Jordan 12 Retro Barons retailed at $200. This sneaker honors a unique moment in Michael Jordan’s career while maintaining the classic style and performance features that have made the Jordan 12 a fan favorite for nearly three decades.",Black/Wolf Grey-White,Black,Lifestyle
36,adidas Yeezy Slide Slate Marine,"First revealed in February 2022 at the Donda 2 listening event in Miami, the adidas Yeezy Slide Onyx features an all-black foam construction with a soft footbed for comfort. At the base, a grooved outsole adds stability and responsiveness.",Slate Marine/Slate Marine/Slate Marine,Grey,Sandals
37,adidas Yeezy Slide Onyx,"First revealed in February 2022 at the Donda 2 listening event in Miami, the adidas Yeezy Slide Onyx features an all-black foam construction with a soft footbed for comfort. At the base, a grooved outsole adds stability and responsiveness.

The adidas Yeezy Slide Onyx released in March of 2022 and retailed for $60.",Onyx/Onyx/Onyx,Black,Sandals
38,Nike Air Force 1 Low '07 White,"The Nike Air Force 1 Low White ‘07 features an all-white leather upper with a perforated toe box and Swoosh overlays. A Nike heel embroidery and white sole completes the design.

The Nike Air Force 1 Low White ‘07 originally released in 2007, but since it is an essential colorway to the brand, it consistently restocks.",White/White,White,Lifestyle
39,ASICS Gel-1130 Black Pure Silver,"Initially debuting in 2008, the ASICS Gel-1130 Black Pure Silver sneakers draw inspiration from the design elements of the GEL-KAYANO 14. This lifestyle running sneaker incorporates a variety of advanced materials to achieve a contemporary look and feel, including technology like GEL cushioning and TRUSSTIC support.

The Black Pure Silver ASICS Gel-1130 features black and pure silver mesh panels, with a logo patch located on the side. It has a rounded toe and employs a front lace-up fastening for secure closure. It also features polished side stripes and a mesh upper. The design is completed with a chunky rubber sole that offers durability and style.

What our experts love about the ASICS Gel-1130 Black Pure Silver is its distinctive retro aesthetics. This sneaker is characterized by its chunky silhouette and the fusion of modern design elements with nostalgic, vintage-inspired style. The sneaker released on 31st May 2023 for $95.","
Black/Pure Silver",Black,Lifestyle
